Season,Slot,Round,Team1,Team2
2024,R1G1,64,Connecticut,Stetson
2024,R1G2,64,Florida Atlantic,Northwestern
2024,R1G3,64,San Diego St.,UAB
2024,R1G4,64,Auburn,Yale
2024,R1G5,64,BYU,Duquesne
2024,R1G6,64,Illinois,Morehead St.
2024,R1G7,64,Washington St.,Drake
2024,R1G8,64,Iowa St.,South Dakota St.
2024,R1G9,64,North Carolina,Wagner
2024,R1G10,64,Mississippi St.,Michigan St.
2024,R1G11,64,Saint Mary's,Grand Canyon
2024,R1G12,64,Alabama,College of Charleston
2024,R1G13,64,Clemson,New Mexico
2024,R1G14,64,Baylor,Colgate
2024,R1G15,64,Dayton,Nevada
2024,R1G16,64,Arizona,Long Beach St.
2024,R1G17,64,Houston,Longwood
2024,R1G18,64,Nebraska,Texas A&M
2024,R1G19,64,Wisconsin,James Madison
2024,R1G20,64,Duke,Vermont
2024,R1G21,64,Texas Tech,North Carolina St.
2024,R1G22,64,Kentucky,Oakland
2024,R1G23,64,Florida,Colorado
2024,R1G24,64,Marquette,Western Kentucky
2024,R1G25,64,Purdue,Grambling St.
2024,R1G26,64,Utah St.,TCU
2024,R1G27,64,Gonzaga,McNeese St.
2024,R1G28,64,Kansas,Samford
2024,R1G29,64,South Carolina,Oregon
2024,R1G30,64,Creighton,Akron
2024,R1G31,64,Texas,Colorado St.
2024,R1G32,64,Tennessee,Saint Peter's
