Season,TeamID,TeamName,Round of 32,Sweet 16,Elite 8,Final Four,Championship Game,Champion
2026,50,Duke,0.988,0.692,0.59,0.53,0.412,0.296
2026,114,Michigan,0.99,0.764,0.682,0.444,0.324,0.168
2026,8,Arizona,0.988,0.712,0.55,0.428,0.22,0.122
2026,167,Purdue,0.94,0.524,0.384,0.242,0.126,0.07
2026,76,Houston,0.964,0.77,0.48,0.252,0.144,0.062
2026,55,Florida,0.998,0.476,0.332,0.214,0.1,0.05
2026,78,Illinois,0.962,0.626,0.306,0.154,0.102,0.04
2026,83,Iowa St.,0.988,0.672,0.54,0.274,0.088,0.036
2026,115,Michigan St.,0.978,0.584,0.384,0.13,0.05,0.022
2026,40,Connecticut,0.962,0.7,0.26,0.13,0.056,0.022
2026,199,Tennessee,0.756,0.422,0.294,0.144,0.04,0.018
2026,212,UCLA,0.748,0.478,0.194,0.072,0.024,0.014
2026,225,Vanderbilt,0.894,0.414,0.232,0.07,0.034,0.01
2026,10,Arkansas,0.886,0.526,0.29,0.072,0.032,0.01
2026,86,Kansas,0.982,0.702,0.142,0.078,0.022,0.01
2026,102,Louisville,0.744,0.272,0.142,0.072,0.028,0.008
2026,82,Iowa,0.708,0.418,0.274,0.124,0.04,0.008
2026,204,Texas Tech,0.934,0.65,0.252,0.09,0.022,0.008
2026,229,Virginia,0.944,0.328,0.242,0.084,0.016,0.006
2026,240,Wisconsin,0.95,0.306,0.112,0.04,0.018,0.004
2026,192,St. John's,0.708,0.318,0.122,0.028,0.01,0.004
2026,3,Alabama,0.98,0.61,0.14,0.05,0.024,0.004
2026,90,Kentucky,0.7,0.272,0.066,0.026,0.01,0.002
2026,25,BYU,0.376,0.24,0.082,0.03,0.016,0.002
2026,129,Nebraska,0.996,0.288,0.122,0.038,0.004,0.002
2026,152,Ohio St.,0.742,0.222,0.114,0.028,0.012,0.002
2026,221,Utah St.,0.288,0.094,0.014,0.0,0.0,0.0
2026,211,UCF,0.252,0.14,0.034,0.008,0.0,0.0
2026,205,Troy,0.004,0.0,0.0,0.0,0.0,0.0
2026,213,UMBC,0.004,0.002,0.0,0.0,0.0,0.0
2026,201,Texas A&M,0.276,0.114,0.016,0.008,0.004,0.0
2026,2,Akron,0.066,0.008,0.0,0.0,0.0,0.0
2026,242,Wright St.,0.056,0.0,0.0,0.0,0.0,0.0
2026,226,VCU,0.3,0.08,0.012,0.0,0.0,0.0
2026,228,Villanova,0.712,0.292,0.064,0.006,0.002,0.0
2026,248,McNeese St.,0.106,0.002,0.0,0.0,0.0,0.0
2026,252,High Point,0.05,0.002,0.0,0.0,0.0,0.0
2026,253,Cal Baptist,0.018,0.006,0.0,0.0,0.0,0.0
2026,254,Hofstra,0.02,0.004,0.0,0.0,0.0,0.0
2026,255,Idaho,0.036,0.004,0.0,0.0,0.0,0.0
2026,256,Miami OH,0.012,0.002,0.0,0.0,0.0,0.0
2026,258,Queens,0.06,0.0,0.0,0.0,0.0,0.0
2026,259,Santa Clara,0.3,0.07,0.01,0.004,0.0,0.0
2026,200,Texas,0.308,0.214,0.032,0.008,0.0,0.0
2026,160,Penn,0.038,0.004,0.0,0.0,0.0,0.0
2026,197,TCU,0.258,0.012,0.004,0.0,0.0,0.0
2026,113,Miami FL,0.794,0.214,0.024,0.004,0.0,0.0
2026,33,Clemson,0.292,0.066,0.03,0.01,0.004,0.0
2026,60,Furman,0.038,0.0,0.0,0.0,0.0,0.0
2026,65,Georgia,0.672,0.32,0.112,0.032,0.002,0.0
2026,68,Gonzaga,0.99,0.224,0.094,0.026,0.004,0.0
2026,74,Hawaii,0.114,0.008,0.0,0.0,0.0,0.0
2026,77,Howard,0.006,0.0,0.0,0.0,0.0,0.0
2026,88,Kennesaw St.,0.01,0.002,0.0,0.0,0.0,0.0
2026,94,Lehigh,0.002,0.0,0.0,0.0,0.0,0.0
2026,98,LIU Brooklyn,0.012,0.0,0.0,0.0,0.0,0.0
2026,122,Missouri,0.206,0.086,0.014,0.006,0.0,0.0
2026,187,South Florida,0.256,0.02,0.0,0.0,0.0,0.0
2026,135,North Carolina,0.7,0.386,0.082,0.018,0.002,0.0
2026,138,North Carolina St.,0.316,0.148,0.022,0.01,0.002,0.0
2026,140,North Dakota St.,0.022,0.0,0.0,0.0,0.0,0.0
2026,145,Northern Iowa,0.292,0.064,0.014,0.0,0.0,0.0
2026,164,Prairie View A&M,0.0,0.0,0.0,0.0,0.0,0.0
2026,174,Saint Louis,0.328,0.05,0.008,0.0,0.0,0.0
2026,175,Saint Mary's,0.724,0.284,0.048,0.008,0.004,0.0
2026,182,Siena,0.012,0.0,0.0,0.0,0.0,0.0
2026,183,SMU,0.232,0.092,0.038,0.008,0.002,0.0
2026,260,Tennessee St.,0.012,0.0,0.0,0.0,0.0,0.0
